,Date(UTC),UnixTimeStamp,Value (Wei)
0,2015-07-30,1438214400,0
1,2015-07-31,1438300800,0
2,2015-08-01,1438387200,0
3,2015-08-02,1438473600,0
4,2015-08-03,1438560000,0
5,2015-08-04,1438646400,0
6,2015-08-05,1438732800,0
7,2015-08-06,1438819200,0
8,2015-08-07,1438905600,604684154870
9,2015-08-08,1438992000,322713574989
10,2015-08-09,1439078400,475467129048
11,2015-08-10,1439164800,421654904254
12,2015-08-11,1439251200,77838819162
13,2015-08-12,1439337600,444902379011
14,2015-08-13,1439424000,268683475202
15,2015-08-14,1439510400,193455494453
16,2015-08-15,1439596800,144368937208
17,2015-08-16,1439683200,120940093311
18,2015-08-17,1439769600,132149993345
19,2015-08-18,1439856000,146513014268
20,2015-08-19,1439942400,194583349948
21,2015-08-20,1440028800,99011782801
22,2015-08-21,1440115200,79543407701
23,2015-08-22,1440201600,552841333007
24,2015-08-23,1440288000,73439482806
25,2015-08-24,1440374400,92409814705
26,2015-08-25,1440460800,76432335617
27,2015-08-26,1440547200,60481160549
28,2015-08-27,1440633600,59307091958
29,2015-08-28,1440720000,92879907335
30,2015-08-29,1440806400,56211090684
31,2015-08-30,1440892800,55155494457
32,2015-08-31,1440979200,58423521569
33,2015-09-01,1441065600,56671549652
34,2015-09-02,1441152000,59243651401
35,2015-09-03,1441238400,55051483461
36,2015-09-04,1441324800,58779015464
37,2015-09-05,1441411200,54768144366
38,2015-09-06,1441497600,55089818552
39,2015-09-07,1441584000,53594260637
40,2015-09-08,1441670400,64932639811
41,2015-09-09,1441756800,53779997784
42,2015-09-10,1441843200,54630657670
43,2015-09-11,1441929600,55713802958
44,2015-09-12,1442016000,61830202468
45,2015-09-13,1442102400,52313524792
46,2015-09-14,1442188800,53772389657
47,2015-09-15,1442275200,53191101494
48,2015-09-16,1442361600,111518559318
49,2015-09-17,1442448000,55637920883
50,2015-09-18,1442534400,55703151966
51,2015-09-19,1442620800,51639660974
52,2015-09-20,1442707200,52910345407
53,2015-09-21,1442793600,51171380285
54,2015-09-22,1442880000,51465441496
55,2015-09-23,1442966400,51732832046
56,2015-09-24,1443052800,54262646753
57,2015-09-25,1443139200,52300197415
58,2015-09-26,1443225600,55315658061
59,2015-09-27,1443312000,51025979902
60,2015-09-28,1443398400,52683661382
61,2015-09-29,1443484800,55437141860
62,2015-09-30,1443571200,51461473059
63,2015-10-01,1443657600,51474669294
64,2015-10-02,1443744000,52567714347
65,2015-10-03,1443830400,52502578427
66,2015-10-04,1443916800,50733256095
67,2015-10-05,1444003200,50742818443
68,2015-10-06,1444089600,51375494165
69,2015-10-07,1444176000,51181314265
70,2015-10-08,1444262400,56971870131
71,2015-10-09,1444348800,61962572208
72,2015-10-10,1444435200,64893302980
73,2015-10-11,1444521600,56318375319
74,2015-10-12,1444608000,51359902694
75,2015-10-13,1444694400,53219625156
76,2015-10-14,1444780800,57976429615
77,2015-10-15,1444867200,54823147993
78,2015-10-16,1444953600,53404946237
79,2015-10-17,1445040000,53619552703
80,2015-10-18,1445126400,52006592112
81,2015-10-19,1445212800,52456819761
82,2015-10-20,1445299200,53767556518
83,2015-10-21,1445385600,53588794315
84,2015-10-22,1445472000,57253941421
85,2015-10-23,1445558400,51207267003
86,2015-10-24,1445644800,50749518370
87,2015-10-25,1445731200,51635339670
88,2015-10-26,1445817600,54585998170
89,2015-10-27,1445904000,53525777571
90,2015-10-28,1445990400,54787998286
91,2015-10-29,1446076800,52364630378
92,2015-10-30,1446163200,54017718700
93,2015-10-31,1446249600,53753181787
94,2015-11-01,1446336000,50751088484
95,2015-11-02,1446422400,53162663704
96,2015-11-03,1446508800,51578536572
97,2015-11-04,1446595200,52243136362
98,2015-11-05,1446681600,52990311400
99,2015-11-06,1446768000,52184810513
100,2015-11-07,1446854400,51944373853
101,2015-11-08,1446940800,52414324288
102,2015-11-09,1447027200,51918274052
103,2015-11-10,1447113600,52237284910
104,2015-11-11,1447200000,52560853806
105,2015-11-12,1447286400,59050838844
106,2015-11-13,1447372800,51534479321
107,2015-11-14,1447459200,51216461485
108,2015-11-15,1447545600,51537798825
