time,type
2018/4/5,SALE
2018/4/5,SALE_PRICE_SET
2018/4/5,CREATION
2018/4/5,CREATION
2018/4/5,SALE
2018/4/5,SALE_PRICE_SET
2018/4/6,SALE
2018/4/6,SALE_PRICE_SET
2018/4/6,CREATION
2018/4/6,SALE
2018/4/6,SALE_PRICE_SET
2018/4/6,CREATION
2018/4/7,CREATION
2018/4/8,CREATION
2018/4/8,CREATION
2018/4/8,CREATION
2018/4/8,CREATION
2018/4/8,CREATION
2018/4/8,CREATION
2018/4/8,CREATION
2018/4/8,CREATION
2018/4/8,CREATION
2018/4/8,CREATION
2018/4/8,CREATION
2018/4/9,BID
2018/4/14,CREATION
2018/4/14,SALE
2018/4/14,SALE_PRICE_SET
2018/4/16,BID
2018/4/16,BID
2018/4/16,SALE_PRICE_SET
2018/4/16,CREATION
2018/4/16,SALE_PRICE_SET
2018/4/16,CREATION
2018/4/16,CREATION
2018/4/16,CREATION
2018/4/16,SALE_PRICE_SET
2018/4/16,CREATION
2018/4/16,SALE_PRICE_SET
2018/4/16,CREATION
2018/4/16,CREATION
2018/4/16,SALE_PRICE_SET
2018/4/16,CREATION
2018/4/16,SALE_PRICE_SET
2018/4/16,SALE_PRICE_SET
2018/4/16,CREATION
2018/4/17,CANCEL_BID
2018/4/17,BID
2018/4/17,SALE
2018/4/18,BID
2018/4/18,BID
2018/4/18,SALE_PRICE_SET
2018/4/18,SALE_PRICE_SET
2018/4/18,CREATION
2018/4/18,CREATION
2018/4/18,SALE_PRICE_SET
2018/4/18,CREATION
2018/4/18,SALE_PRICE_SET
2018/4/18,SALE_PRICE_SET
2018/4/18,CREATION
2018/4/18,CREATION
2018/4/18,SALE_PRICE_SET
2018/4/18,CREATION
2018/4/18,SALE_PRICE_SET
2018/4/18,CREATION
2018/4/18,SALE_PRICE_SET
2018/4/18,CREATION
2018/4/18,CREATION
2018/4/18,SALE_PRICE_SET
2018/4/18,CREATION
2018/4/18,SALE_PRICE_SET
2018/4/18,CREATION
2018/4/18,SALE_PRICE_SET
2018/4/18,CREATION
2018/4/18,SALE_PRICE_SET
2018/4/18,CREATION
2018/4/18,SALE_PRICE_SET
2018/4/18,CREATION
2018/4/18,SALE_PRICE_SET
2018/4/18,BID
2018/4/18,BID
2018/4/18,BID
2018/4/18,BID
2018/4/18,BID
2018/4/19,BID
2018/4/19,BID
2018/4/19,SALE
2018/4/19,SALE_PRICE_SET
2018/4/19,SALE_PRICE_SET
2018/4/19,SALE
2018/4/19,SALE_PRICE_SET
2018/4/19,SALE_PRICE_SET
2018/4/19,SALE
2018/4/19,BID
2018/4/19,BID
2018/4/19,SALE_PRICE_SET
2018/4/19,BID
2018/4/19,CREATION
2018/4/19,BID
2018/4/19,BID
2018/4/20,BID
2018/4/20,SALE_PRICE_SET
2018/4/20,ACCEPT_BID
2018/4/20,BID
2018/4/20,ACCEPT_BID
2018/4/20,CREATION
2018/4/20,SALE
2018/4/20,SALE_PRICE_SET
2018/4/20,CREATION
2018/4/20,CREATION
2018/4/20,BID
2018/4/21,SALE_PRICE_SET
2018/4/21,CREATION
2018/4/21,CREATION
2018/4/21,CREATION
2018/4/21,CREATION
2018/4/21,CREATION
2018/4/22,BID
2018/4/23,BID
2018/4/23,CANCEL_BID
2018/4/23,ACCEPT_BID
2018/4/23,BID
2018/4/23,BID
2018/4/23,CREATION
2018/4/24,BID
2018/4/24,CANCEL_BID
2018/4/24,SALE_PRICE_SET
2018/4/24,BID
2018/4/24,BID
2018/4/24,ACCEPT_BID
2018/4/24,CREATION
2018/4/24,CREATION
2018/4/24,BID
2018/4/24,BID
2018/4/24,CREATION
2018/4/24,CREATION
2018/4/24,CREATION
2018/4/24,CREATION
2018/4/24,SALE_PRICE_SET
2018/4/24,BID
2018/4/24,CANCEL_BID
2018/4/25,BID
2018/4/25,SALE
2018/4/25,ACCEPT_BID
2018/4/25,BID
2018/4/25,SALE
2018/4/25,SALE_PRICE_SET
2018/4/25,BID
2018/4/25,CREATION
2018/4/25,CREATION
2018/4/25,SALE_PRICE_SET
2018/4/25,SALE_PRICE_SET
2018/4/25,SALE_PRICE_SET
2018/4/25,CREATION
2018/4/25,SALE_PRICE_SET
2018/4/25,SALE_PRICE_SET
2018/4/25,CREATION
2018/4/25,SALE_PRICE_SET
2018/4/25,SALE_PRICE_SET
2018/4/25,CREATION
2018/4/25,SALE_PRICE_SET
2018/4/25,BID
2018/4/25,CREATION
2018/4/25,ACCEPT_BID
2018/4/26,SALE_PRICE_SET
2018/4/26,SALE_PRICE_SET
2018/4/26,SALE_PRICE_SET
2018/4/26,SALE_PRICE_SET
2018/4/26,SALE_PRICE_SET
2018/4/26,BID
2018/4/26,CANCEL_BID
2018/4/26,SALE_PRICE_SET
2018/4/26,CREATION
2018/4/26,SALE_PRICE_SET
2018/4/26,CREATION
2018/4/26,CREATION
2018/4/26,CREATION
2018/4/26,SALE_PRICE_SET
2018/4/26,CREATION
2018/4/26,SALE_PRICE_SET
2018/4/26,CREATION
2018/4/26,CREATION
2018/4/26,CREATION
2018/4/26,SALE_PRICE_SET
2018/4/26,CREATION
2018/4/26,SALE_PRICE_SET
2018/4/27,CANCEL_BID
2018/4/27,SALE_PRICE_SET
2018/4/27,CANCEL_BID
2018/4/27,ACCEPT_BID
2018/4/27,SALE
2018/4/28,SALE_PRICE_SET
2018/4/28,ACCEPT_BID
2018/4/28,BID
2018/4/28,SALE
2018/4/29,CANCEL_BID
2018/4/29,SALE_PRICE_SET
2018/4/29,SALE_PRICE_SET
2018/4/29,CANCEL_BID
2018/4/29,ACCEPT_BID
2018/4/29,BID
2018/4/29,SALE_PRICE_SET
2018/4/29,CREATION
2018/4/29,CREATION
2018/4/29,SALE_PRICE_SET
2018/4/29,CREATION
2018/4/29,SALE_PRICE_SET
2018/4/29,CREATION
2018/4/29,CREATION
2018/4/29,CREATION
2018/4/29,CREATION
2018/4/29,CREATION
2018/4/30,SALE_PRICE_SET
2018/4/30,SALE_PRICE_SET
2018/4/30,SALE_PRICE_SET
2018/4/30,SALE
2018/4/30,SALE_PRICE_SET
2018/4/30,SALE_PRICE_SET
2018/4/30,SALE
2018/4/30,SALE_PRICE_SET
2018/4/30,SALE
2018/4/30,SALE
2018/4/30,SALE_PRICE_SET
2018/4/30,BID
2018/4/30,CREATION
2018/4/30,SALE_PRICE_SET
2018/4/30,CREATION
2018/4/30,SALE_PRICE_SET
2018/4/30,CREATION
2018/4/30,SALE_PRICE_SET
2018/4/30,CREATION
2018/4/30,ACCEPT_BID
2018/4/30,BID
2018/4/30,CREATION
2018/4/30,SALE_PRICE_SET
2018/4/30,CREATION
2018/5/1,SALE_PRICE_SET
2018/5/1,BID
2018/5/1,SALE_PRICE_SET
2018/5/1,SALE_PRICE_SET
2018/5/1,SALE
2018/5/1,SALE_PRICE_SET
2018/5/1,SALE_PRICE_SET
2018/5/1,SALE_PRICE_SET
2018/5/1,SALE_PRICE_SET
2018/5/1,SALE_PRICE_SET
2018/5/1,ACCEPT_BID
2018/5/1,SALE_PRICE_SET
2018/5/1,BID
2018/5/2,SALE_PRICE_SET
2018/5/2,SALE_PRICE_SET
2018/5/2,SALE
2018/5/2,SALE_PRICE_SET
2018/5/2,SALE_PRICE_SET
2018/5/2,SALE_PRICE_SET
2018/5/2,SALE_PRICE_SET
2018/5/2,SALE_PRICE_SET
2018/5/2,SALE_PRICE_SET
2018/5/2,SALE_PRICE_SET
2018/5/2,SALE_PRICE_SET
2018/5/2,SALE_PRICE_SET
2018/5/2,SALE_PRICE_SET
2018/5/2,CREATION
2018/5/3,SALE
2018/5/3,SALE_PRICE_SET
2018/5/3,CREATION
2018/5/4,CANCEL_BID
2018/5/4,TRANSFER
2018/5/4,CREATION
2018/5/4,SALE_PRICE_SET
2018/5/4,SALE_PRICE_SET
2018/5/4,CREATION
2018/5/6,BID
2018/5/6,CANCEL_BID
2018/5/7,CANCEL_BID
2018/5/7,CANCEL_BID
2018/5/7,BID
2018/5/7,CANCEL_BID
2018/5/7,CANCEL_BID
2018/5/8,SALE_PRICE_SET
2018/5/8,SALE_PRICE_SET
2018/5/8,SALE_PRICE_SET
2018/5/8,SALE_PRICE_SET
2018/5/8,SALE_PRICE_SET
2018/5/8,CREATION
2018/5/8,CREATION
2018/5/9,SALE
2018/5/11,CREATION
2018/5/11,CREATION
2018/5/11,SALE_PRICE_SET
2018/5/11,CREATION
2018/5/11,SALE_PRICE_SET
2018/5/13,ACCEPT_BID
2018/5/13,BID
2018/5/13,CREATION
2018/5/13,CREATION
2018/5/13,BID
2018/5/14,SALE_PRICE_SET
2018/5/15,BID
2018/5/15,BID
2018/5/15,BID
2018/5/15,CREATION
2018/5/15,CREATION
2018/5/15,BID
2018/5/16,ACCEPT_BID
2018/5/16,BID
2018/5/16,SALE_PRICE_SET
2018/5/16,SALE_PRICE_SET
2018/5/16,SALE_PRICE_SET
2018/5/16,CREATION
2018/5/16,SALE_PRICE_SET
2018/5/16,CREATION
2018/5/16,SALE_PRICE_SET
2018/5/17,CREATION
2018/5/18,SALE
2018/5/18,SALE_PRICE_SET
2018/5/18,SALE_PRICE_SET
2018/5/18,BID
2018/5/18,SALE_PRICE_SET
2018/5/18,SALE
2018/5/18,SALE
2018/5/19,BID
2018/5/19,CREATION
2018/5/19,SALE
2018/5/19,SALE_PRICE_SET
2018/5/20,CANCEL_BID
2018/5/20,SALE_PRICE_SET
2018/5/20,CREATION
2018/5/20,SALE_PRICE_SET
2018/5/20,SALE_PRICE_SET
2018/5/20,SALE_PRICE_SET
2018/5/21,SALE_PRICE_SET
2018/5/22,BID
2018/5/22,SALE
2018/5/23,BID
2018/5/23,BID
2018/5/23,BID
2018/5/23,SALE_PRICE_SET
2018/5/23,CREATION
2018/5/23,BID
2018/5/23,SALE_PRICE_SET
2018/5/23,SALE_PRICE_SET
2018/5/23,BID
2018/5/23,SALE_PRICE_SET
2018/5/23,SALE
2018/5/23,SALE_PRICE_SET
2018/5/23,SALE_PRICE_SET
2018/5/23,SALE_PRICE_SET
2018/5/23,SALE
2018/5/24,CANCEL_BID
2018/5/24,SALE_PRICE_SET
2018/5/24,SALE_PRICE_SET
2018/5/24,CREATION
2018/5/24,SALE_PRICE_SET
2018/5/24,SALE_PRICE_SET
2018/5/24,CREATION
2018/5/24,SALE_PRICE_SET
2018/5/24,SALE_PRICE_SET
2018/5/24,SALE_PRICE_SET
2018/5/24,CREATION
2018/5/24,SALE_PRICE_SET
2018/5/24,CREATION
2018/5/24,CREATION
2018/5/24,SALE_PRICE_SET
2018/5/24,CREATION
2018/5/24,TRANSFER
2018/5/24,CREATION
2018/5/25,CREATION
2018/5/25,CREATION
2018/5/25,ACCEPT_BID
2018/5/25,BID
2018/5/25,CREATION
2018/5/25,TRANSFER
2018/5/25,SALE_PRICE_SET
2018/5/25,SALE
2018/5/26,SALE_PRICE_SET
2018/5/26,SALE_PRICE_SET
2018/5/26,SALE_PRICE_SET
2018/5/26,CREATION
2018/5/26,SALE_PRICE_SET
2018/5/26,SALE_PRICE_SET
2018/5/26,SALE_PRICE_SET
2018/5/26,SALE_PRICE_SET
2018/5/26,SALE_PRICE_SET
2018/5/27,TRANSFER
2018/5/27,BID
2018/5/27,TRANSFER
2018/5/28,CREATION
2018/5/30,SALE
2018/5/30,CREATION
2018/5/30,CREATION
2018/5/30,CREATION
2018/5/30,BID
2018/5/30,SALE_PRICE_SET
2018/5/30,SALE_PRICE_SET
2018/5/31,TRANSFER
2018/5/31,TRANSFER
2018/5/31,TRANSFER
2018/5/31,TRANSFER
2018/5/31,TRANSFER
2018/5/31,TRANSFER
2018/5/31,CREATION
2018/5/31,CREATION
2018/5/31,CREATION
2018/5/31,CREATION
2018/5/31,CREATION
2018/5/31,SALE_PRICE_SET
2018/5/31,ACCEPT_BID
2018/5/31,TRANSFER
2018/5/31,TRANSFER
2018/5/31,SALE_PRICE_SET
2018/6/1,ACCEPT_BID
2018/6/1,BID
2018/6/1,SALE_PRICE_SET
2018/6/1,CANCEL_BID
2018/6/1,BID
2018/6/1,CREATION
2018/6/1,CREATION
2018/6/1,SALE_PRICE_SET
2018/6/1,TRANSFER
2018/6/1,SALE
2018/6/2,CANCEL_BID
2018/6/2,BID
2018/6/2,CREATION
2018/6/2,SALE_PRICE_SET
2018/6/3,SALE_PRICE_SET
2018/6/3,SALE_PRICE_SET
2018/6/3,SALE_PRICE_SET
2018/6/3,SALE_PRICE_SET
2018/6/3,BID
2018/6/3,CREATION
2018/6/3,BID
2018/6/4,BID
2018/6/4,SALE_PRICE_SET
2018/6/4,CREATION
2018/6/4,SALE_PRICE_SET
2018/6/4,CREATION
2018/6/4,SALE_PRICE_SET
2018/6/4,CREATION
2018/6/4,SALE_PRICE_SET
2018/6/4,CREATION
2018/6/4,SALE_PRICE_SET
2018/6/4,CREATION
2018/6/4,SALE_PRICE_SET
2018/6/4,SALE_PRICE_SET
2018/6/5,BID
2018/6/5,SALE_PRICE_SET
2018/6/5,SALE_PRICE_SET
2018/6/5,CREATION
2018/6/6,TRANSFER
2018/6/6,CANCEL_BID
2018/6/6,BID
2018/6/6,CREATION
2018/6/6,SALE_PRICE_SET
2018/6/6,CREATION
2018/6/6,SALE_PRICE_SET
2018/6/6,CREATION
2018/6/6,CANCEL_BID
2018/6/6,TRANSFER
2018/6/7,SALE_PRICE_SET
2018/6/7,SALE_PRICE_SET
2018/6/7,SALE_PRICE_SET
2018/6/7,BID
2018/6/7,SALE_PRICE_SET
2018/6/7,CREATION
2018/6/7,TRANSFER
2018/6/7,SALE_PRICE_SET
2018/6/8,BID
2018/6/9,CANCEL_BID
2018/6/9,CANCEL_BID
2018/6/9,CREATION
2018/6/10,BID
